TransDate,TransactionDescription,Amount,Balance
04/03,Withdrawal POS #309312399643...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-6.48,848.48
04/03,"Withdrawal Home Banking Transfer........................................  To HODGES,JUSTINE B 532694 Share 10 REF# 58405865 VILLA",-141.00,707.48
04/03,Recurring Withdrawal Debit Card Visa Check..........................  KING SOOPERS 5053 719-598-5177 CO 5411,-42.64,664.84
04/04,Withdrawal Debit Card Visa Check...........................................  McDonalds 4126 COLORADO SPRI CO 5814,-3.55,661.29
04/04,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*HY0HZ7IM2 Amzn.com/bill WA 5942,-31.05,630.24
04/04,Withdrawal POS #309417696362...........................................  KUM&GO 0643R CO SPRINGS COLORADO SPRN CO 5541 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 3 of 10 1111111111111111111111010011001101110111001110011010100110000001010000001100010011000011101010101010000001111100001100010011000000011000101110000000101111000101010010100101010111000110000100000111010110100011111010011111110011100111001011011100010111011011010000111110111011001111111001001110110000010000010111111000000100000010110010001111010111011111101001001101001110000101101010101101000111111111110011001011000111010011110010001100000110100100001000001010110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,-16.61,613.63
04/04,Deposit Home Banking Transfer From Share 13......................  REF# 58451489,56.00,669.63
04/04,Withdrawal Home Banking Transfer To Share 13....................  REF# 58451518,-150.00,519.63
04/05,Withdrawal Debit Card Visa Check...........................................  CIRCLE K 09847 COLORADO SPRI CO 5542,-56.56,463.07
04/05,Deposit Home Banking Transfer From Share 00......................  REF# 58457972,200.00,663.07
04/05,Withdrawal POS #309515406336...........................................  CIRCLE K # 40693 COLORADO SPRI CO 5541,-11.71,651.36
04/06,Withdrawal Debit Card Visa Check...........................................  CIRCLE K # 40693 COLORADO SPRI CO 5542,-90.09,561.27
04/06,"Deposit Home Banking Transfer REF# 58489879....................  From HODGES,JUSTINE B 532694 Share 10",789.45,"1,350.72"
04/06,"Withdrawal Home Banking Transfer REF# 58489890..............  To HODGES,JUSTINE B 532694 Share 01",-300.00,"1,050.72"
04/06,Withdrawal Home Banking Transfer To Share 12....................  REF# 58489894,-150.00,900.72
04/06,Withdrawal Home Banking Transfer To Share 13....................  REF# 58489897,-60.00,840.72
04/06,Withdrawal Home Banking Transfer To Share 00....................  REF# 58489900,-75.00,765.72
04/06,Withdrawal Debit Card Visa Check...........................................  DOMINO’S 6259 COLORADO SPRI CO 5814,-29.19,736.53
04/06,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*HS5EL53Y2 Amzn.com/bill WA 5942,-368.14,368.39
04/06,Withdrawal POS #309621292435...........................................  CIRCLE K # 40693 COLORADO SPRI CO 5541,-6.48,361.91
04/06,Withdrawal Debit Card Visa Check...........................................  UCCS DINING SERVICES COLORADO SPRI CO 8220,-7.88,354.03
04/06,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 379361-1.18-61933N11.no8 026847743 2-5 AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 4 of 10 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance LEVELUPSMOOTHIEKING78 855-466-5585 MA 5812,-15.67,338.36
04/07,Withdrawal Debit Card Visa Check...........................................  ROADHOUSE CINEMAS - COL 520-661-4749 CO 7832,-30.06,308.30
04/07,Withdrawal POS #309717008966...........................................  COSTCO WHSE #1030 COLORADO SPG CO 5300,-124.89,183.41
04/07,Withdrawal Debit Card Visa Check...........................................  ALBERTACOS MEXICAN FOO COLORADO SPRI CO 5814,-17.10,166.31
04/07,Recurring Withdrawal #309726108602...................................  VASA FITNESS 800-748-4949 UT,-24.99,141.32
04/08,Deposit Home Banking Transfer From Share 12......................  REF# 58563927,140.00,281.32
04/08,Withdrawal POS #309814504519...........................................  KUM&GO 0667R CO SPRIN CO SPRINGS CO 5541,-6.23,275.09
04/08,Withdrawal Debit Card Visa Check...........................................  ROADHOUSE CINEMAS RAILY COLORADO SPRI CO 5812,-24.99,250.10
04/10,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.39,243.71
04/10,Recurring Withdrawal #310020719231...................................  ADOBE *CREATIVE CLOUD 408-536-6000 CA,-20.60,223.11
04/10,Withdrawal POS #310022539453...........................................  KUM&GO 0667R CO SPRIN CO SPRINGS CO 5541,-10.26,212.85
04/10,Withdrawal Debit Card Visa Check...........................................  LEVELUPSMOOTHIEKING91 855-466-5585 MA 5812,-17.84,195.01
04/11,Withdrawal #310122732298...................................................  8667127753 APPLE COM BILL CUPERTINO CA,-3.99,191.02
04/11,Recurring Withdrawal #310122734797...................................  8667127753 APPLE COM BILL CUPERTINO CA,-0.99,190.03
04/12,Withdrawal Debit Card Visa Check...........................................  STORE*CHICK-FIL-A WWW.DOORDASH. CA 5812,-21.41,168.62
04/12,Withdrawal Debit Card Visa Check...........................................  ALBERTACOS MEXICAN FOO COLORADO SPRI CO 5814,-12.75,155.87
04/13,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.61,149.26
04/13,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.46,142.80
04/14,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*HJ1BH48K1 Amzn.com/bill WA 5942 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 5 of 10 1111111111111111111111010011001101110001001110011010100110000001010000001100010011000011101010101010000001100100001100010011000000111000101110000000011111000101010010100110110111000110000100111011010110100011111000011011110011100111010011101100010111011010101111111110111011011000001011011110110001100110011111111000010010110111110010101100001110110111101000011100000001000101101011010000011001111001100110001100110111011011010010111100100110100010001000101011010101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance,-32.20,110.60
04/14,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,627.55,738.15
04/14,Withdrawal POS #310418461478...........................................  COSTCO WHSE #1030 COLORADO SPG CO 5300,-90.65,647.50
04/14,Recurring Withdrawal Debit Card Visa Check..........................  APPLE.COM/BILL 866-712-7753 CA 5818,-15.99,631.51
04/14,Withdrawal POS #310421350891...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-4.79,626.72
04/15,Withdrawal Debit Card Visa Check...........................................  DP DOUGH COLORADO SPRIN COLORADO SPRI CO 5812,-16.31,610.41
04/15,Withdrawal Debit Card Visa Check...........................................  McDonalds 11078 COLORADO SPRI CO 5814,-3.55,606.86
04/16,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.52,600.34
04/16,Withdrawal Debit Card Visa Check...........................................  RAISING CANES 0392 COLORADO SPRI CO 5814,-22.70,577.64
04/17,Withdrawal POS #310712221538...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-14.45,563.19
04/17,Withdrawal Debit Card Visa Check...........................................  APPLE.COM/BILL 866-712-7753 CA 5818,-2.99,560.20
04/17,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-23.94,536.26
04/17,Withdrawal POS #310720485178...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-7.39,528.87
04/17,Withdrawal POS #310721177133...........................................  LOWE’S #2578 COLORADO SPGS CO 5200,-6.99,521.88
04/18,Withdrawal Debit Card Visa Check...........................................  TARGET 00022210 COLORADO SPRI CO 5411,-42.74,479.14
04/18,Withdrawal Debit Card Visa Check...........................................  MCDONALD’S F11078 COLORADO SPRI CO 5814,-9.29,469.85
04/18,Withdrawal Debit Card Visa Check...........................................  PANDA EXPRESS #687 COLORADO SPRI CO 5814,-19.15,450.70
04/18,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 379361-1.18-61933N11.no8 026847743 3-5 AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 6 of 10 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance LOWES #00907* 866-483-7521 NC 5200,-7.55,443.15
04/18,Withdrawal Debit Card Visa Check...........................................  CHICK-FIL-A #02342 COLO SPGS CO 5814,-9.94,433.21
04/18,Withdrawal Debit Card Visa Check...........................................  PP*DUTCHBROSLL GRANTS PASS OR 5814,-6.16,427.05
04/19,Withdrawal Debit Card Visa Check...........................................  CIRCLE K 09847 COLORADO SPRI CO 5542,-54.48,372.57
04/19,Deposit ACH SUCCESS FOODS MA.........................................  TYPE: PAYROLL CO: SUCCESS FOODS MA,294.43,667.00
04/19,Withdrawal POS #310908142535...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-2.30,664.70
04/19,Withdrawal Home Banking Transfer To Share 11....................  REF# 58864187,-300.00,364.70
04/19,Recurring Withdrawal Debit Card Visa Check..........................  APPLE.COM/BILL 866-712-7753 CA 5818,-0.99,363.71
04/19,Withdrawal Debit Card Visa Check...........................................  LOWES #00907* 866-483-7521 NC 5200,-14.29,349.42
04/19,Withdrawal POS #310918339070...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-22.80,326.62
04/20,Withdrawal Debit Card Visa Check...........................................  IBI*FABLETICS.COM 855-2023570 CA 5968,-16.92,309.70
04/20,Withdrawal Debit Card Visa Check...........................................  RAISING CANES 0468 COLORADO SPRI TX 5814,-22.70,287.00
04/20,Withdrawal POS #311018519384...........................................  KUM&GO 0665R CO SPRIN CO SPRINGS CO 5541,-3.05,283.95
04/20,Withdrawal POS #311020267037...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-7.99,275.96
04/21,Withdrawal Debit Card Visa Check...........................................  McDonalds 11078 COLORADO SPRI CO 5814,-6.04,269.92
04/21,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.61,263.31
04/21,"Deposit Home Banking Transfer REF# 58958361....................  From HODGES,JUSTINE B 532694 Share 10",130.00,393.31
04/21,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 7 of 10 1111111111111111111111010011001101110011001110011010100110010001010000001100010011000011101010101010000001001100001100010011000001011000101110000000000001000101010010100100110111000110000100101101010110100011111000011111110011100111111011001101010111011001101100111010111011011011110101001110110000010010010111111000100010000111010011011101110001010111101100111011101111100100010011000110000010111001101011101110111111010010110000010100010110100000001001001011010101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance LEVELUPSMOOTHIEKING64 855-466-5585 MA 5812,-15.13,378.18
04/22,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-2.25,375.93
04/22,Withdrawal POS #311212637740...........................................  SAFEWAY #4615 FALCON CO 5411,-4.48,371.45
04/22,Withdrawal Debit Card Visa Check...........................................  LOWES #00907* 866-483-7521 NC 5200,-186.60,184.85
04/23,Withdrawal POS #311310101087...........................................  LOWE’S #2423 COLORADOSPRIN CO 5200,-27.92,156.93
04/23,Withdrawal POS #311311077917...........................................  MAVERIK #608 COLORADO SPRI CO 5541,-7.88,149.05
04/23,Withdrawal POS #311313679135...........................................  KUM&GO 0665R CO SPRIN CO SPRINGS CO 5541,-7.39,141.66
04/23,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-5.62,136.04
04/23,Withdrawal Debit Card Visa Check...........................................  SONIC #4735 PEYTON CO 5814,-11.66,124.38
04/24,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-7.40,116.98
04/24,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.55,110.43
04/25,Withdrawal Debit Card Visa Check...........................................  PANDA EXPRESS 700 COLORADO SPRI CO 5814,-12.98,97.45
04/25,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-3.56,93.89
04/25,Withdrawal Debit Card Visa Check...........................................  RAISING CANES 0468 COLORADO SPRI TX 5814,-10.81,83.08
04/26,Withdrawal Debit Card Visa Check...........................................  CIRCLE K 09874 COLORADO SPRI CO 5499,-5.96,77.12
04/26,Withdrawal POS #311617341562...........................................  TRADER JOE S #30 TRADER COLORADO SPRI CO 5411,-3.79,73.33
04/26,Withdrawal Debit Card Visa Check...........................................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 379361-1.18-61933N11.no8 026847743 4-5 AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 8 of 10 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance ALBERTACOS MEXICAN FOO COLORADO SPRI CO 5814,-18.10,55.23
04/26,Withdrawal Debit Card Visa Check...........................................  Subway 24261 Colorado Spri CO 5814,-25.55,29.68
04/26,Withdrawal Debit Card Visa Check...........................................  LEVELUPSMOOTHIEKING26 855-466-5585 MA 5812,-17.84,11.84
04/27,Withdrawal POS #311709310084...........................................  CIRCLE K 09847 COLORADO SPRN CO 5541,-7.63,4.21
04/27,Deposit Home Banking Transfer From Share 12......................  REF# 59088361,160.00,164.21
04/27,Withdrawal POS #311718079487...........................................  EMPIRE 8154 COLORADO SPRI CO 5541,-23.86,140.35
04/28,Withdrawal Debit Card Visa Check...........................................  CIRCLE K 09847 COLORADO SPRI CO 5542,-57.00,83.35
04/28,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO DEP PRENOTIFICATION FROM UNIVERSITY OF CO,590.62,673.97
04/28,Withdrawal Debit Card Visa Check...........................................  RED ROBIN NO 207 COLORADO SPRI CO 5812,-56.34,617.63
04/28,Withdrawal POS #311814001015...........................................  MAVERIK #608 COLORADO SPRI CO 5542,-20.04,597.59
04/28,Withdrawal Debit Card Visa Check...........................................  RAISING CANES 0468 COLORADO SPRI TX 5814,-10.61,586.98
04/28,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.79,580.19
04/28,Withdrawal POS #311800016990...........................................  KING SOOPERS #0119 9225 N. UNION COLORADO SPRI CO 5411,-54.92,525.27
04/28,Withdrawal Debit Card Visa Check...........................................  LEVELUPSMOOTHIEKING01 855-466-5585 MA 5812,-15.13,510.14
04/29,Withdrawal POS #311900605798...........................................  SEI 33710 6040 BARNES RD US COLORADO SPRI CO 5541,-9.30,500.84
04/29,Withdrawal POS #311912403090...........................................  COSTCO WHSE #1014 COLORADO SPRI CO 5300,-180.40,320.44
04/30,Withdrawal Debit Card Visa Check...........................................  094 TORCHYS COLORADO SP COLORADO SPRI CO 5812,-6.61,313.83
04/30,Withdrawal POS #312020541666...........................................  KING SOOPERS #01 9225 N COLORADO SPRI CO Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 9 of 10 1111111111111111111111010001001101110101001110011010100110000001010000001100010011000011101010101010000001010100001100010011000011011000101110000000110011000101010010100100010111000110000100011101010110100011111000001011110011100111001001111101010111011000110110111010111011000000010001011110110001111110101111111000111011000010110011111101110001111111101010100011001001100100111101101111111101111001111111111010101111010100010011010100000110100110111000101011110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance 5411,-61.69,252.14
04/30,"Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.030% for period: 04/01/23 to 04/30/23 Ending Balance............................................................................. 252.15 No Strings Checking - 11 NO STRINGS CHECKING Dividends Earned YTD: 0.05 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (4) - Checks Cleared (0) - Withdrawals & Other Debits (0) = Ending Balance $0.01 $1,200.04 $0.00 $0.00 $1,200.05 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 0.01",0.01,252.15
04/04,"Deposit Home Banking Transfer REF# 58451730....................  From HODGES,JUSTINE B 532694 Share 10",600.00,600.01
04/06,"Deposit Home Banking Transfer REF# 58499861....................  From HODGES,JUSTINE B 532694 Share 01",300.00,900.01
04/19,Deposit Home Banking Transfer From Share 10......................  REF# 58864187,300.00,"1,200.01"
04/30,"Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.050% for period: 04/01/23 to 04/30/23 Ending Balance............................................................................. 1,200.05 No Strings Checking - 12 NO STRINGS CHECKING Dividends Earned YTD: 0.01 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (2) - Checks Cleared (0) - Withdrawals & Other Debits (2) = Ending Balance $150.00 $150.01 $0.00 $300.00 $0.01 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 150.00",0.04,"1,200.05"
04/06,Deposit Home Banking Transfer From Share 10......................  REF# 58489894,150.00,300.00
04/08,Withdrawal Home Banking Transfer To Share 10....................  REF# 58563927,-140.00,160.00
04/27,Withdrawal Home Banking Transfer To Share 10....................  REF# 59088361,-160.00,0.00
04/30,Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.080% for period: 04/01/23 to 04/30/23 Ending Balance............................................................................. 0.01 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 379361-1.18-61933N11.no8 026847743 5-5 AccountNumber 1159412 StatementPeriod04/01/23thru04/30/23 Page 10 of 10 No Strings Checking - 13 NO STRINGS CHECKING Dividends Earned YTD: 0.01 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (3) - Checks Cleared (0) - Withdrawals & Other Debits (3) = Ending Balance $120.00 $210.01 $0.00 $236.00 $94.01 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 120.00,0.01,0.01
04/04,Withdrawal Home Banking Transfer To Share 10....................  REF# 58451489,-56.00,64.00
04/04,Deposit Home Banking Transfer From Share 10......................  REF# 58451518,150.00,214.00
04/06,Deposit Home Banking Transfer From Share 10......................  REF# 58489897,60.00,274.00
04/12,"Withdrawal Home Banking Transfer REF# 58656095..............  To HODGES,JUSTINE B 532694 Share 10",-40.00,234.00
04/24,"Withdrawal Home Banking Transfer........................................  To HODGES,JUSTINE B 532694 Share 10 REF# 59012041 VILLA",-140.00,94.00
04/30,"Deposit Dividend Tiered Rate..................................................  Annual Percentage Yield Earned 0.060% for period: 04/01/23 to 04/30/23 Ending Balance............................................................................. 94.01 YEAR-TO-DATE DIVIDEND SUMMARY Reportable Dividends this Year:............................................................................. 0.16 Reportable dividends of $10.00 or more are reported to the IRS as interest income for the year. ** The Visa Foreign Currency Transaction Fee will be assessed to purchases made outside of the United States as well as to online purchases made within the United States, but the merchant is located outside the United States. ** No-cost loan payment alternatives are available, please call 800-525-9623 for more information. Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA",0.01,94.01
08/04,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,216.86,223.10
08/06,Withdrawal Home Banking Transfer To Share 10....................  REF# 62131774,-120.00,103.10
08/07,Withdrawal Transfer To Share 10............................................ ,-66.38,36.72
08/07,Withdrawal Transfer To Share 10............................................ ,-12.97,23.75
08/08,Withdrawal Transfer To Share 10............................................  DEP PRENOTIFICATION FROM Colorado Springs,-15.41,8.34
08/10,Withdrawal Transfer To Share 10............................................ ,-3.34,5.00
08/10,"Deposit Home Banking Transfer REF# 62237311....................  From HODGES,JUSTINE B 532694 Share 00",100.00,105.00
08/10,Withdrawal Home Banking Transfer To Share 10....................  REF# 62244036,-90.00,15.00
08/18,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,233.24,248.24
08/20,Deposit at ATM #000000007422.............................................  ENT CREDIT UNION 7020 CAMPUS DRIVE Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 2 of 13 Primary Savings - 00 PRIMARY SAVINGS (continued) TransDate EffDate TransactionDescription Amount Balance COLORADO SPRI CO,"1,225.00","1,473.24"
08/20,Deposit at ATM #000000007423.............................................  ENT CREDIT UNION 7020 CAMPUS DRIVE COLORADO SPRI CO,"1,630.00","3,103.24"
08/21,Withdrawal Home Banking Transfer To Share 10....................  REF# 62561047,-160.00,"2,943.24"
08/21,Withdrawal Home Banking Transfer To Share 10....................  REF# 62561103,-25.00,"2,918.24"
08/23,"Withdrawal Home Banking Transfer REF# 62611037..............  To HODGES,JUSTINE B 532694 Share 00",-500.00,"2,418.24"
08/23,Withdrawal Home Banking Transfer To Share 10....................  REF# 62611048,-350.00,"2,068.24"
08/24,Withdrawal Home Banking Transfer To Share 10....................  REF# 62642305,-130.00,"1,938.24"
08/24,Withdrawal Home Banking Transfer To Share 10....................  REF# 62651577,-215.00,"1,723.24"
08/25,Deposit ACH Colorado Springs................................................  TYPE: PR PAYMENT CO: Colorado Springs,113.47,"1,836.71"
08/26,Withdrawal Home Banking Transfer To Share 10....................  REF# 62713024,-600.00,"1,236.71"
08/27,Withdrawal Home Banking Transfer To Share 10....................  REF# 62734632,-200.00,"1,036.71"
08/31,"Deposit Dividend 0.050%........................................................  Annual Percentage Yield Earned 0.050% for period: 08/01/23 to 08/31/23 Ending Balance............................................................................. 1,036.74 No Strings Checking - 10 NO STRINGS CHECKING Dividends Earned YTD: 0.05 JointOwner:TYMITCHELL Beginning Balance + Deposits & Other Credits (33) - Checks Cleared (0) - Withdrawals & Other Debits (110)= Ending Balance $150.42 $7,706.54 $0.00 $7,759.04 $97.92 TransDate EffDate TransactionDescription Amount Balance Beginning Balance......................................................................... 150.42",0.03,"1,036.74"
08/01,"Deposit Home Banking Transfer REF# 61951582....................  From HODGES,JUSTINE B 532694 Share 10",57.00,207.42
08/01,"Deposit Home Banking Transfer REF# 61951681....................  Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 3 of 13 1111111111111111111111010011001100110111001110011000100010000001110000001101110011000001101011100010000001111100001111100011000011011000100110000000111111000101110010100100110111001010000100110101010101000011111011101011111010000111000000001100100101011011100011111110000011111100010011011100110011000001011111001000101011001110010000001100001100000111111010011001011110100101111010010010110010011110101101101001100111001011010000001100100111000110001000001010110101010101010101010101 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance From HODGES,JUSTINE B 532694 Share 00",59.30,266.72
08/01,Withdrawal Adjustment Debit Card Credit Voucher.................  BOOTBARN.COM 888-440-2668 CA 5661,309.66,576.38
08/02,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TH6BW6D10 Amzn.com/bill WA 5942,-203.65,372.73
08/02,Withdrawal Debit Card Visa Check...........................................  AMZN Mktp US*TH7MR6D90 Amzn.com/bill WA 5942,-8.65,364.08
08/02,Withdrawal Home Banking Transfer To Share 11....................  REF# 61993259,-200.00,164.08
08/02,Recurring Withdrawal #321421106093...................................  Audible*TH6FO2M21 Amzn.com/bill NJ,-16.18,147.90
08/03,Withdrawal Debit Card Visa Check...........................................  McDonalds 26480 COLORADO SPRI CO 5814,-3.33,144.57
08/03,Withdrawal Debit Card Visa Check...........................................  2574PEPSIVEN9147678600 COLORADO SPRI CO 5814,-3.10,141.47
08/03,Recurring Withdrawal Debit Card Visa Check..........................  APPLE.COM/BILL 866-712-7753 CA 5818,-0.99,140.48
08/03,Withdrawal Debit Card Visa Check...........................................  KUM&GO 0659R CO SPRIN CO SPRINGS CO 5541,-7.46,133.02
08/03,"Deposit Home Banking Transfer REF# 62036259....................  From HODGES,JUSTINE B 532694 Share 00",275.00,408.02
08/04,Deposit ACH UNIVERSITY OF CO............................................  TYPE: DIR DEP CO: UNIVERSITY OF CO,867.46,"1,275.48"
08/04,Withdrawal Home Banking Transfer To Share 11....................  REF# 62069132,-300.00,975.48
08/04,"Withdrawal Home Banking Transfer REF# 62069143..............  To HODGES,JUSTINE B 532694 Share 01",-100.00,875.48
08/04,"Withdrawal Home Banking Transfer REF# 62069166..............  To HODGES,JUSTINE B 532694 Share 11 Equal Housing Opportunity Ent is a registered trademark of Ent Credit Union Insured by NCUA 397914-1.58-51407N11.no7 029314349 2-7 AccountNumber 1159412 StatementPeriod08/01/23thru08/31/23 Page 4 of 13 No Strings Checking - 10 NO STRINGS CHECKING (continued) TransDate EffDate TransactionDescription Amount Balance",-35.00,840.48
08/04,"Withdrawal Home Banking Transfer REF# 62069186..............  To HODGES,JUSTINE B 532694 Share 12",-100.00,740.48
08/04,Withdrawal Home Banking Transfer To Share 13....................  REF# 62069205,-140.00,600.48
08/05,Withdrawal Debit Card Visa Check...........................................  VENMO* Visa Direct NY 4829,-15.00,585.48
